UserName,DateTime,FilesChange
quocanhuet,2023-04-28 06:08:34,1
quocanhuet,2023-04-28 06:05:17,2
quocanhuet,2023-04-24 10:48:02,13
quocanhuet,2023-04-21 08:40:53,5
quocanhuet,2023-04-21 08:21:35,8
quocanhuet,2023-04-17 04:15:19,18
khoavpt,2023-06-01 15:44:55,1
khoavpt,2023-06-01 15:43:55,1
khoavpt,2023-06-01 15:38:47,14
khoavpt,2023-05-23 10:14:56,4
khoavpt,2023-05-23 10:10:53,20
khoavpt,2023-05-22 09:09:36,1
khoavpt,2023-05-22 09:06:47,1
khoavpt,2023-05-22 09:04:00,2
khoavpt,2023-05-18 17:59:02,1
khoavpt,2023-05-18 17:57:18,17
khoavpt,2023-05-15 09:28:06,6
khoavpt,2023-05-15 05:37:37,1
khoavpt,2023-05-15 05:36:55,10
khoavpt,2023-05-15 05:33:37,3
khoavpt,2023-05-14 16:49:02,1
khoavpt,2023-05-14 16:46:58,9
khoavpt,2023-05-12 06:25:56,8
khoavpt,2023-05-12 02:35:29,1
khoavpt,2023-05-12 01:25:23,1
khoavpt,2023-05-12 01:23:23,8
khoavpt,2023-05-11 12:59:23,9
khoavpt,2023-05-08 10:51:10,24
khoavpt,2023-05-08 10:44:44,6
khoavpt,2023-05-08 10:19:12,1
khoavpt,2023-05-08 09:28:46,2
khoavpt,2023-05-08 09:26:57,2
khoavpt,2023-05-08 09:21:27,9
khoavpt,2023-05-05 07:33:58,1
khoavpt,2023-05-05 07:04:16,8
khoavpt,2023-04-28 07:49:59,1
khoavpt,2023-04-28 07:45:22,3
khoavpt,2023-04-28 07:33:44,1
khoavpt,2023-04-28 07:14:59,1
khoavpt,2023-04-28 07:10:21,2
khoavpt,2023-04-28 06:51:43,1
khoavpt,2023-04-28 06:08:34,1
khoavpt,2023-04-28 06:05:17,2
khoavpt,2023-04-24 10:48:02,13
khoavpt,2023-04-21 08:40:53,5
khoavpt,2023-04-21 08:21:35,8
khoavpt,2023-04-17 04:15:19,18
bacngv,2023-05-22 09:07:48,2
bacngv,2023-05-22 09:06:47,1
bacngv,2023-05-22 09:04:00,2
bacngv,2023-05-19 02:15:52,1
bacngv,2023-05-19 01:06:50,0
bacngv,2023-05-19 00:55:48,1
bacngv,2023-05-19 00:55:11,18
bacngv,2023-05-18 17:59:02,1
bacngv,2023-05-18 17:57:18,17
bacngv,2023-05-15 01:25:19,1
bacngv,2023-05-15 01:19:50,10
bacngv,2023-05-14 16:49:02,1
bacngv,2023-05-14 16:46:58,9
bacngv,2023-05-12 06:33:29,1
bacngv,2023-05-12 06:26:23,8
bacngv,2023-05-12 02:35:29,1
bacngv,2023-05-12 01:25:23,1
bacngv,2023-05-12 01:23:23,8
bacngv,2023-05-11 12:59:23,9
bacngv,2023-05-08 10:36:07,1
bacngv,2023-05-08 10:31:12,1
bacngv,2023-05-08 10:24:30,2
bacngv,2023-05-08 10:19:12,1
bacngv,2023-05-08 10:02:56,26
bacngv,2023-05-08 10:00:13,1
bacngv,2023-05-08 09:28:46,2
bacngv,2023-05-08 09:26:57,2
bacngv,2023-05-08 09:21:27,9
bacngv,2023-05-05 07:33:58,1
bacngv,2023-05-05 07:04:16,8
bacngv,2023-04-28 07:49:59,1
bacngv,2023-04-28 07:45:22,3
bacngv,2023-04-28 07:33:44,1
bacngv,2023-04-28 07:14:59,1
bacngv,2023-04-28 07:10:21,2
bacngv,2023-04-28 06:51:43,1
bacngv,2023-04-28 06:08:34,1
bacngv,2023-04-28 06:05:17,2
bacngv,2023-04-24 10:48:02,13
bacngv,2023-04-21 08:40:53,5
bacngv,2023-04-21 08:21:35,8
bacngv,2023-04-17 04:15:19,18
nguyenmanhcuong29092004,2023-05-19 06:37:07,1
nguyenmanhcuong29092004,2023-05-19 06:32:32,1
nguyenmanhcuong29092004,2023-05-19 06:30:56,18
nguyenmanhcuong29092004,2023-05-18 17:59:02,1
